".\VolumeSampling.exe -i .\model1.obj -o model1.vtk --viscosity 0.05 -r 0.03 -s "0.74 0.74 0.74""
"id","Points:0","Points:1","Points:2"
386,-0.166581,0.34706,-0.475
387,-0.119336,0.348106,-0.475
388,-0.0727338,0.349431,-0.475
389,-0.0261017,0.347891,-0.475
390,0.0208125,0.348974,-0.475
391,0.0680112,0.349828,-0.475
392,0.114805,0.351,-0.475
393,0.160385,0.355575,-0.475
394,0.207296,0.35714,-0.475
395,0.254208,0.354329,-0.475
396,0.301393,0.357455,-0.475
397,0.360433,0.33753,-0.488237
398,0.413623,0.338357,-0.497802
399,0.440243,0.350704,-0.536207
400,0.479826,0.343145,-0.522238
401,0.390515,0.374831,-0.487285
402,0.438952,0.375029,-0.493038
403,0.480707,0.381307,-0.522438
404,-0.513318,0.418176,-0.47831
405,-0.468447,0.425794,-0.475094
406,-0.411817,0.445407,-0.47468
407,-0.361951,0.439671,-0.475
408,-0.315177,0.436622,-0.475
409,-0.267038,0.438236,-0.475
410,-0.217378,0.427676,-0.475
411,-0.166138,0.438892,-0.475
412,-0.120111,0.435143,-0.475
413,-0.0726107,0.441621,-0.474928
414,-0.0259643,0.434917,-0.475
415,0.019725,0.436761,-0.475
416,0.0709423,0.43735,-0.475
417,0.116511,0.435643,-0.475
418,0.162685,0.442265,-0.474894
419,0.20972,0.43684,-0.475
420,0.254344,0.439698,-0.475
421,0.305213,0.431473,-0.475
422,0.352351,0.441106,-0.474927
423,0.397242,0.438111,-0.475
424,0.44048,0.42124,-0.486883
425,0.479556,0.420136,-0.51437
426,-0.2387,0.467743,-0.469965
427,-0.195496,0.467618,-0.470119
428,0.0452012,0.468571,-0.469723
429,0.284387,0.467834,-0.469825
430,0.329174,0.468673,-0.469201
431,0.431924,0.464372,-0.471308
432,0.473446,0.462283,-0.477491
433,-0.505963,-0.479988,-0.431692
434,-0.466798,-0.492001,-0.43657
435,-0.421639,-0.475076,-0.445573
436,-0.360929,-0.475,-0.437247
437,-0.317216,-0.475,-0.453466
438,-0.262768,-0.475,-0.462465
439,-0.215621,-0.475,-0.465555
440,-0.167334,-0.475,-0.466631
441,-0.121373,-0.475,-0.464211
442,-0.0722623,-0.475,-0.464842
443,-0.0237361,-0.475,-0.463236
444,0.0244109,-0.475,-0.4615
445,0.0717456,-0.475,-0.45975
446,0.11963,-0.475,-0.458736
447,0.167365,-0.475,-0.457586
448,0.215266,-0.475,-0.456904
449,0.263596,-0.475,-0.456221
450,0.312384,-0.475,-0.455523
451,0.359946,-0.475,-0.454377
452,0.406534,-0.475,-0.457943
453,0.479144,-0.47431,-0.452244
454,0.513558,-0.478532,-0.418536
455,-0.524958,-0.443928,-0.469492
456,-0.454898,-0.437023,-0.45923
457,-0.386679,-0.474798,-0.469867
458,-0.33957,-0.450742,-0.477531
459,-0.291489,-0.463068,-0.490019
460,-0.242849,-0.438785,-0.490544
461,-0.192417,-0.432387,-0.497387
462,-0.143883,-0.432398,-0.498495
463,-0.0963917,-0.430439,-0.501708
464,-0.0485816,-0.432478,-0.500358
465,-0.000733454,-0.430859,-0.500672
466,0.0469188,-0.431517,-0.499862
467,0.0949456,-0.431417,-0.499624
468,0.142829,-0.431688,-0.499005
469,0.190471,-0.431328,-0.498841
470,0.238238,-0.431392,-0.497892
471,0.286137,-0.431397,-0.496744
472,0.334609,-0.431809,-0.496029
473,0.384096,-0.434788,-0.488327
474,0.432704,-0.429967,-0.504383
475,0.475013,-0.439771,-0.472922
476,-0.534476,-0.400306,-0.44096
477,-0.493018,-0.394508,-0.434031
478,-0.43066,-0.401822,-0.432934
479,-0.378642,-0.407347,-0.448959
480,-0.322775,-0.409405,-0.446328
481,-0.270373,-0.417269,-0.450085
482,-0.212564,-0.426847,-0.445408
483,-0.169074,-0.401579,-0.462131
484,-0.119417,-0.404637,-0.459741
485,-0.0718041,-0.4033,-0.461517
486,-0.0224214,-0.401988,-0.462018
487,0.0240871,-0.396864,-0.467848
488,0.0721306,-0.398491,-0.465327
489,0.119938,-0.397278,-0.46615
490,0.167202,-0.396219,-0.466894
491,0.214517,-0.3967,-0.465213
492,0.26162,-0.396634,-0.464146
493,0.308472,-0.397386,-0.462366
494,0.354939,-0.396323,-0.463297
495,0.399968,-0.396704,-0.458769
496,0.442021,-0.420714,-0.449451
497,0.475,-0.390815,-0.444435
498,-0.524902,-0.356884,-0.478928
499,-0.44498,-0.35786,-0.475
500,-0.400621,-0.356827,-0.475
501,-0.361133,-0.364989,-0.475177
502,-0.301089,-0.368814,-0.454078
503,-0.232985,-0.389087,-0.467764
504,-0.191844,-0.372134,-0.492857
505,-0.143594,-0.371848,-0.50099
506,-0.0960889,-0.369719,-0.502177
507,-0.045336,-0.376664,-0.504592
508,0.000844287,-0.361908,-0.509682
509,0.0499124,-0.366415,-0.506049
510,0.0974625,-0.36368,-0.504016
511,0.144219,-0.360446,-0.505114
512,0.19163,-0.360639,-0.503276
513,0.238902,-0.360447,-0.501512
514,0.286509,-0.360816,-0.500321
515,0.334044,-0.360316,-0.499377
516,0.382087,-0.359804,-0.497388
517,0.430249,-0.368024,-0.498716
518,0.475,-0.354983,-0.470409
519,-0.537345,-0.313613,-0.443199
520,-0.49541,-0.317674,-0.435198
521,-0.437987,-0.32622,-0.436718
522,-0.384321,-0.322247,-0.437558
523,-0.328113,-0.323475,-0.446012
524,-0.27336,-0.320493,-0.447215
525,-0.224548,-0.332937,-0.444456
526,-0.175127,-0.340302,-0.453216
527,-0.123654,-0.344126,-0.454281
528,-0.0673286,-0.340673,-0.463803
529,-0.0188566,-0.335288,-0.470819
530,0.0282799,-0.329688,-0.477524
531,0.0735547,-0.322406,-0.475631
532,0.12138,-0.323265,-0.473059
533,0.171049,-0.322156,-0.472541
534,0.216997,-0.318571,-0.474259
535,0.263544,-0.319012,-0.472693
536,0.309146,-0.318135,-0.471434
537,0.354757,-0.318289,-0.471459
538,0.397911,-0.319801,-0.465678
539,0.441103,-0.320892,-0.478406
540,0.475,-0.315332,-0.443914
541,-0.51421,-0.275569,-0.478886
542,-0.466605,-0.274158,-0.475
543,-0.424693,-0.277432,-0.475
544,-0.342432,-0.280132,-0.475
545,-0.302395,-0.275596,-0.475
546,-0.262975,-0.280121,-0.486042
547,-0.209929,-0.289638,-0.456823
548,-0.152958,-0.293446,-0.452421
549,-0.0780258,-0.296652,-0.462276
550,-0.0348728,-0.273331,-0.460968
551,0.00981128,-0.288627,-0.477151
552,0.0447894,-0.281714,-0.511118
553,0.0967118,-0.290454,-0.509171
554,0.147021,-0.29415,-0.507755
555,0.19335,-0.279401,-0.509741
556,0.243798,-0.280964,-0.506556
557,0.288857,-0.275163,-0.501797
558,0.335225,-0.276146,-0.501302
559,0.381899,-0.27635,-0.498785
560,0.429292,-0.2773,-0.505647
561,0.475,-0.27498,-0.47114
562,-0.538526,-0.22532,-0.445404
563,-0.50058,-0.248097,-0.437049
564,-0.445001,-0.240901,-0.434617
565,-0.389216,-0.247146,-0.434922
566,-0.330899,-0.251021,-0.436367
567,-0.27272,-0.25283,-0.436587
568,-0.225575,-0.242001,-0.445257
569,-0.17637,-0.24285,-0.445669
570,-0.128197,-0.247711,-0.443744
571,-0.0765174,-0.246052,-0.442795
572,-0.0209757,-0.240723,-0.43252
573,0.0273752,-0.254063,-0.433908
574,0.0801808,-0.263,-0.48246
575,0.129119,-0.245732,-0.510976
